Strategy,Accuracy,Weighted F1,Large-Model Usage,Avg Cost (units),Cost Reduction vs Large-Only
Small only (TinyBERT),0.796400449943757,0.7974036430340303,0.0,1.0,0.96
Large only (RoBERTa),0.8764261610155873,0.8763033512060907,1.0,25.0,0.0
Confidence baseline,0.8550538325566447,0.8550913627626067,0.29053511168246826,7.972842680379238,0.6810862927848305
Oracle (upper bound),0.9196529005302908,0.9196809422547101,0.12325245058653382,3.9580588140768116,0.8416776474369275
