signal,threshold,accuracy,weighted_f1,large_usage,avg_cost,cost_reduction
small_margin,0.00026282668,0.7965611441426964,0.7975547269162069,0.0001606941989394183,1.003856660774546,0.9598457335690181
small_margin,0.003525116257733334,0.7967218383416359,0.7977168421405858,0.0011248593925759281,1.0269966254218224,0.9589201349831271
small_margin,0.006787405835466667,0.7973646151373935,0.7983487361403756,0.0019283303872730194,1.0462799292945524,0.9581488028282179
small_margin,0.010049695413200001,0.7986501687289089,0.7996384432279383,0.004017354973485457,1.096416519363651,0.9561433392254539
small_margin,0.013311984990933334,0.7992929455246666,0.8002941131984023,0.005784991161819059,1.1388397878836574,0.9544464084846537
small_margin,0.01657427456866667,0.7999357223204242,0.8009369520164444,0.006749156355455568,1.1619797525309337,0.9535208098987626
small_margin,0.019836564146400004,0.8002571107183031,0.8012396182227053,0.008195404145910332,1.196689699501848,0.952132412019926
small_margin,0.023098853724133336,0.8008998875140607,0.8018570091065893,0.009802346135304516,1.2352563072473084,0.9505897477101076
small_margin,0.02636114330186667,0.801381970110879,0.8023031146778583,0.011087899726819861,1.2661095934436766,0.949355616262253
small_margin,0.029623432879600006,0.8018640527076972,0.8027694833162551,0.01221275911939579,1.293106218865499,0.94827575124538
small_margin,0.03288572245733334,0.8020247469066367,0.8029225876777774,0.013498312710911136,1.3239595050618673,0.9470416197975253
small_margin,0.03614801203506667,0.8028282179013337,0.8037309572534554,0.014783866302426483,1.3548127912582357,0.9458074883496705
small_margin,0.03941030161280001,0.8036316888960309,0.8045223005369438,0.016390808291820665,1.3933793990036958,0.9442648240398521
small_margin,0.04267259119053334,0.8042744656917885,0.8051672995237793,0.018158444480154266,1.4358026675237023,0.9425678932990519
small_margin,0.04593488076826667,0.8050779366864856,0.8059653993058644,0.019926080668487868,1.4782259360437089,0.9408709625582516
small_margin,0.049197170346000005,0.8058814076811827,0.806746555761732,0.021050940061063797,1.5052225614655312,0.9397910975413788
small_margin,0.05245945992373334,0.8062027960790615,0.8070707609685054,0.02265788205045798,1.5437891692109915,0.9382484332315604
small_margin,0.055721749501466675,0.8062027960790615,0.8070707609685054,0.022979270448336815,1.5515024907600836,0.9379399003695966
small_margin,0.05898403907920001,0.8062027960790615,0.8070512908434864,0.024104129840912744,1.5784991161819057,0.9368600353527238
small_margin,0.06224632865693334,0.8070062670737587,0.8078544593837407,0.025550377631367506,1.6132090631528202,0.9354716374738872
small_margin,0.06550861823466667,0.807166961272698,0.8080180370038195,0.026835931222882855,1.6440623493491886,0.9342375060260324
small_margin,0.0687709078124,0.8074883496705769,0.8083318684555119,0.027478708018640528,1.6594889924473728,0.9336204403021051
small_margin,0.07203319739013334,0.8076490438695163,0.8085064850458543,0.028442873212277037,1.6826289570946489,0.9326948417162141
small_margin,0.07529548696786667,0.8078097380684557,0.8086701086139689,0.02908565000803471,1.6980556001928329,0.9320777759922867
small_margin,0.0785577765456,0.8076490438695163,0.8085061842383875,0.03004981520167122,1.7211955648401092,0.9311521774063957
small_margin,0.08182006612333334,0.807166961272698,0.808028203266605,0.031496062992125984,1.7559055118110236,0.9297637795275591
small_margin,0.08508235570106668,0.8073276554716374,0.8081811616305512,0.032942310782580746,1.790615458781938,0.9283753816487225
small_margin,0.0883446452788,0.8078097380684557,0.8086489341740234,0.03390647597621726,1.8137554234292144,0.9274497830628314
small_margin,0.09160693485653333,0.8082918206652739,0.809126279436826,0.035834806363490276,1.8600353527237665,0.9255985858910494
small_margin,0.09486922443426667,0.8089345974610317,0.8097576824279947,0.036959665756066205,1.8870319781455889,0.9245187208741764
small_margin,0.098131514012,0.8090952916599711,0.8099219441158113,0.037763136750763295,1.9063152820183191,0.9237473887192672
small_margin,0.10139380358973334,0.8090952916599711,0.8099219441158113,0.03872730194439981,1.9294552466655954,0.9228217901333762
small_margin,0.10465609316746667,0.8090952916599711,0.8099219441158113,0.03920938454121806,1.9410252289892336,0.9223589908404306
small_margin,0.1079183827452,0.8089345974610317,0.8097576824279947,0.039852161336975736,1.9564518720874178,0.9217419251165033
small_margin,0.11118067232293334,0.8092559858589105,0.8100944047959654,0.040977020729551665,1.98344849750924,0.9206620600996304
small_margin,0.11444296190066668,0.80941668005785,0.8102587971057759,0.04194118592318817,2.006588462156516,0.9197364615137393
small_margin,0.11770525147840001,0.8097380684557287,0.8105827489826335,0.04242326852000643,2.018158444480154,0.9192736622207939
small_margin,0.12096754105613335,0.8100594568536076,0.8109109174585156,0.04338743371364294,2.0412984091274304,0.9183480636349028
small_margin,0.12422983063386667,0.8110236220472441,0.8118465869554952,0.0448336815040977,2.076008356098345,0.9169596657560662
small_margin,0.1274921202116,0.8116663988430017,0.8124754872967452,0.04595854089667363,2.1030049815201672,0.9158798007391933
small_margin,0.13075440978933334,0.8118270930419412,0.8126391219120869,0.04692270609031014,2.1261449461674435,0.9149542021533023
small_margin,0.13401669936706667,0.8119877872408806,0.8127923619686584,0.047565482886067816,2.1415715892656277,0.9143371364293749
small_margin,0.1372789889448,0.8118270930419412,0.8126283809183391,0.04901173067652258,2.1762815362365417,0.9129487385505384
small_margin,0.14054127852253334,0.8124698698376989,0.8132723448915472,0.05061867266591676,2.2148481439820022,0.91140607424072
small_margin,0.14380356810026668,0.8126305640366382,0.8134135609326845,0.05190422625743211,2.2457014301783707,0.9101719427928652
small_margin,0.147065857678,0.8119877872408806,0.8127919758029404,0.05302908565000804,2.272698055600193,0.9090920777759923
small_margin,0.15032814725573335,0.81214848143982,0.8129537718349553,0.05399325084364454,2.295838020247469,0.9081664791901012
small_margin,0.15359043683346668,0.8123091756387595,0.813113020896708,0.054957416037281055,2.318977984894745,0.9072408806042102
small_margin,0.15685272641120002,0.8126305640366382,0.8134164154677056,0.056082275429856984,2.3459746103165675,0.9061610155873373
small_margin,0.16011501598893335,0.8129519524345171,0.8137298006530678,0.05656435802667524,2.3575445926402057,0.9056982162943917
small_margin,0.1633773055666667,0.813273340832396,0.8140349168329878,0.05688574642455407,2.3652579141892978,0.9053896834324281
small_margin,0.16663959514440002,0.8135947292302748,0.8143409045499289,0.057528523220311746,2.380684557287482,0.9047726177085007
small_margin,0.16990188472213336,0.8137554234292143,0.8145025178088916,0.05849268841394826,2.4038245219347583,0.9038470191226097
small_margin,0.1731641742998667,0.814076811827093,0.8148168386709089,0.05913546520970593,2.4192511650329425,0.9032299533986823
small_margin,0.1764264638776,0.814076811827093,0.8148168386709089,0.06026032460228186,2.446247790454765,0.9021500883818094
small_margin,0.17968875345533333,0.814076811827093,0.8148150591687888,0.061224489795918366,2.4693877551020407,0.9012244897959184
small_margin,0.18295104303306667,0.8147195886228508,0.8154344818272509,0.062349349188494295,2.496384380523863,0.9001446247790454
small_margin,0.1862133326108,0.8150409770207295,0.815739938494632,0.0633135143821308,2.5195243451711393,0.8992190261931544
small_margin,0.18947562218853334,0.8156837538164873,0.8163804646219937,0.06427767957576731,2.5426643098184156,0.8982934276072634
small_margin,0.19273791176626667,0.816005142214366,0.8166987256948472,0.06524184476940383,2.565804274465692,0.8973678290213724
small_margin,0.196000201344,0.8166479190101237,0.8173281509872855,0.0666880925598586,2.6005142214366064,0.8959794311425358
small_margin,0.19926249092173334,0.8169693074080026,0.8176318177385445,0.06749156355455568,2.6197975253093366,0.8952080989876265
small_margin,0.20252478049946668,0.8172906958058814,0.817948003090933,0.06813434035031335,2.6352241684075204,0.8945910332636992
small_margin,0.2057870700772,0.8174513900048208,0.8180927634195326,0.06909850554394986,2.6583641330547967,0.8936654346778081
