feature,importance_mean,importance_std
small_margin,0.25618466659715683,0.010119982268501318
small_entropy,0.25475183440766414,0.009489311060251979
small_confidence,0.02545665877997711,0.006035290690996355
flesch_reading_ease,0.005618770357349007,0.0018362817296463405
num_clauses,0.0017716246005777703,0.0013579970569790934
num_entities,0.0014318893921641152,0.0010698856926360809
dep_depth,0.001029902770295632,0.0015179396024620918
flesch_kincaid_grade,0.0009581012926074162,0.002388478246821981
complexity_score,0.0006988188051698207,0.0008234259330520275
token_count,0.0005781880709147425,0.0002979574480535371
hedge_count,5.5215571328398605e-05,9.15575520911377e-05
negation_count,2.889907501059108e-05,0.00020052125737380884
entity_density,-0.0002158432846147973,0.0006308871644694636
char_count,-0.0003183477713851246,0.0007006258273528506
num_financial_terms,-0.0004418601400752786,0.0006160075333796479
passive_voice_count,-0.0009256963348237279,0.00042901025384269514
avg_word_len,-0.0011780313706635237,0.0008034383584177733
