threshold,accuracy,weighted_f1,large_usage,avg_cost,cost_reduction
0.0,0.8764261610155873,0.8763033512060907,1.0,25.0,0.0
0.005,0.8764261610155873,0.8763033512060907,1.0,25.0,0.0
0.01,0.8764261610155873,0.8763033512060907,1.0,25.0,0.0
0.015,0.8764261610155873,0.8763033512060907,1.0,25.0,0.0
0.02,0.8764261610155873,0.8763033512060907,1.0,25.0,0.0
0.025,0.8764261610155873,0.8763033512060907,1.0,25.0,0.0
0.03,0.8764261610155873,0.8763033512060907,1.0,25.0,0.0
0.035,0.8764261610155873,0.8763033512060907,1.0,25.0,0.0
0.04,0.8764261610155873,0.8763033512060907,1.0,25.0,0.0
0.045,0.8764261610155873,0.8763033512060907,1.0,25.0,0.0
0.05,0.8764261610155873,0.8763033512060907,1.0,25.0,0.0
0.055,0.8764261610155873,0.8763033512060907,1.0,25.0,0.0
0.06,0.8764261610155873,0.8763033512060907,1.0,25.0,0.0
0.065,0.8764261610155873,0.8763033512060907,1.0,25.0,0.0
0.07,0.8764261610155873,0.8763033512060907,1.0,25.0,0.0
0.075,0.8764261610155873,0.8763033512060907,1.0,25.0,0.0
0.08,0.8764261610155873,0.8763033512060907,1.0,25.0,0.0
0.085,0.8764261610155873,0.8763033512060907,1.0,25.0,0.0
0.09,0.8764261610155873,0.8763033512060907,0.9996786116021211,24.992286678450906,0.0003085328619637506
0.095,0.8764261610155873,0.8763033512060907,0.9993572232042424,24.984573356901816,0.0006170657239273902
0.1,0.8764261610155873,0.8763033512060907,0.9990358348063635,24.976860035352722,0.0009255985858911409
0.105,0.8764261610155873,0.8763033512060907,0.9974288928169693,24.938293427607263,0.00246826289570945
0.11,0.8764261610155873,0.8763033512060907,0.996143339225454,24.907440141410895,0.0037023943435642304
0.115,0.8764261610155873,0.8763033512060907,0.9937329262413627,24.849590229792703,0.0060163908082918605
0.12,0.8764261610155873,0.8763033512060907,0.9895548770689379,24.74931704965451,0.010027318013819508
